"timestamp",series_id,target_power,wind_speed,temperature,hour,text_exogenous
2024-01-01 00:00:00,toy_turbine_001,10.0,5.2,2.1,0,Toy wind turbine context. Stable overnight wind and low temperature.
2024-01-01 01:00:00,toy_turbine_001,12.0,5.8,2.0,1,Toy wind turbine context. Wind speed increases slightly.
2024-01-01 02:00:00,toy_turbine_001,11.5,5.5,1.8,2,Toy wind turbine context. Wind speed eases after a short rise.
2024-01-01 03:00:00,toy_turbine_001,13.0,6.0,1.7,3,Toy wind turbine context. Early morning wind strengthens.
2024-01-01 04:00:00,toy_turbine_001,15.0,6.4,1.5,4,Toy wind turbine context. Strongest toy wind interval.
2024-01-01 05:00:00,toy_turbine_001,14.5,6.1,1.6,5,Toy wind turbine context. Wind remains elevated.
2024-01-01 00:00:00,toy_turbine_002,8.0,4.8,2.4,0,Toy wind turbine context. Lower wind-speed regime than turbine 001.
2024-01-01 01:00:00,toy_turbine_002,8.5,4.9,2.3,1,Toy wind turbine context. Wind remains steady.
2024-01-01 02:00:00,toy_turbine_002,9.0,5.1,2.2,2,Toy wind turbine context. Gradual wind increase.
2024-01-01 03:00:00,toy_turbine_002,9.8,5.3,2.1,3,Toy wind turbine context. Modest early morning ramp.
2024-01-01 04:00:00,toy_turbine_002,10.2,5.4,2.0,4,Toy wind turbine context. Local peak in toy power.
2024-01-01 05:00:00,toy_turbine_002,10.0,5.2,2.1,5,Toy wind turbine context. Wind softens slightly.
